x,y,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
-73.84661776,40.84109468,NYPL67,NYPL,Other,212-340-0903,,,718-863-0436,,Westchester Square Branch,2521,Glebe Avenue,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Westchester Square Branch",2521 Glebe Avenue,"Bronx, NY 10461"
-73.86793859,40.90041508,NYPL68,NYPL,Other,212-340-0903,,,718-519-9627,,Woodlawn Heights Branch,4355,Katonah Avenue,Bronx,10470,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodlawn Heights Branch",4355 Katonah Avenue,"Bronx, NY 10470"
-73.90463511,40.82064083,NYPL69,NYPL,Other,212-340-0903,,,718-665-6255,,Woodstock Branch,761,East 160th Street,Bronx,10456,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodstock Branch",761 East 160th Street,"Bronx, NY 10456"
-74.10112453,40.59036117,NYPL70,NYPL,Other,212-340-0903,,,718-351-1444,,Dongan Hills Branch,1617,Richmond Road,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Dongan Hills Branch",1617 Richmond Road,"Staten Island, NY 10304"
-74.15111491,40.55242245,NYPL71,NYPL,Other,212-340-0903,,,718-984-6670,,Great Kills Branch,56,Giffords Lane,Staten Island,10308,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Great Kills Branch",56 Giffords Lane,"Staten Island, NY 10308"
-74.19326854,40.53406504,NYPL72,NYPL,Other,212-340-0903,,,718-984-4636,,Huguenot Park Branch,830,Huguenot Avenue,Staten Island,10312,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Huguenot Park Branch",830 Huguenot Avenue,"Staten Island, NY 10312"
-74.111978,40.57190877,NYPL73,NYPL,Other,212-340-0903,,,718-351-2977,,New Dorp Regional Branch,309,New Dorp Lane,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Dorp Regional Branch",309 New Dorp Lane,"Staten Island, NY 10306"
-74.13114128,40.63756878,NYPL74,NYPL,Other,212-340-0903,,,718-442-0158,,Port Richmond Branch,75,Bennett Street,Staten Island,10302,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Port Richmond Branch",75 Bennett Street,"Staten Island, NY 10302"
-74.13854586,40.5665384,NYPL75,NYPL,Other,212-340-0903,,,718-668-0413,,Richmondtown Branch,200,Clarke Avenue,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Richmondtown Branch",200 Clarke Avenue,"Staten Island, NY 10306"
-74.06298924,40.59581762,NYPL76,NYPL,Other,212-340-0903,,,718-816-5834,,South Beach Branch,21-25,Robin Road,Staten Island,10305,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, South Beach Branch",21-25 Robin Road,"Staten Island, NY 10305"
-74.07670363,40.64183123,NYPL77,NYPL,Other,212-340-0903,,,718-442-8560,,St. George Library Ctr.,5,Central Avenue,Staten Island,10301,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. George Library Center",5 Central Avenue,"Staten Island, NY 10301"
-74.07785652,40.6262428,NYPL78,NYPL,Other,212-340-0903,,,718-727-0427,,Stapleton Branch,132,Canal Street,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Stapleton Branch",132 Canal Street,"Staten Island, NY 10304"
-74.1484999,40.60958371,NYPL79,NYPL,Other,212-340-0903,,,718-494-1642,,Todt Hill-Westerleigh Branch,2550,Victory Blvd.,Staten Island,10314,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Todt Hill-Westerleigh Branch",2550 Victory Blvd.,"Staten Island, NY 10314"
-74.11483567,40.63451206,NYPL81,NYPL,Other,212-340-0903,,,718-442-1416,,West New Brighton Branch,976,Castleton Avenue,Staten Island,10310,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West New Brighton Branch",976 Castleton Avenue,"Staten Island, NY 10310"
-73.78634551,40.8476825,NYPL40,NYPL,Other,212-340-0903,,,718-885-1703,,City Island Branch,320,City Island Avenue,Bronx,10464,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, City Island Branch",320 City Island Avenue,"Bronx, NY 10464"
-73.93017558,40.76613506,DOE_DYCD94,DOE,21st Century,212-374-5472,Jacob A. Riis Neighborhood Settlement House,111729398,718-784-7447,30Q126,Albert Shanker School of Performing Arts,31-51,21st Street,Queens,11106,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Jacob A. Riis Neighborhood Settlement House,31-51 21st Street,"Queens, NY 11106"
-73.89397196,40.65372367,DOE_DYCD46,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K260,PS 260,875,Williams Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,875 Williams Avenue,"Brooklyn, NY 11207"
-73.88651037,40.65522121,DOE_DYCD48,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K306,PS 306,970,Vermont Street,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,970 Vermont Street,"Brooklyn, NY 11207"
-73.87635168,40.66618686,DOE_DYCD44,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K202,PS 202,982,Hegeman Ave,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,982 Hegeman Ave,"Brooklyn, NY 11208"
-73.86810587,40.73737612,DOE_DYCD51,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,24Q013,PS 13,55-01,94th Street,Queens,11373,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,55-01 94th Street,"Queens, NY 11373"
-73.87309426,40.68936762,DOE_DYCD2,DOE,21st Century,212-374-5472,Cypress Hills Local Development,112683663,718-647-2800,19K007,PS 7,858,Jamaica Avenue,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Cypress Hills Local Dev.,858 Jamaica Avenue,"Brooklyn, NY 11208"
-73.92146705,40.80634801,DOE_DYCD28,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X043,PS 43,165,Brown Place,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,165 Brown Place,"Bronx, NY 10454"
-73.91991799,40.80933055,DOE_DYCD29,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X220,PS 220,468,East 140th Street,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,yes,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,468 East 140th Street,"Bronx, NY 10454"
-73.98407116,40.71819685,DOE_DYCD31,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M142,PS 142,100,Attorney Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Attorney Street,"Manhattan, NY 10002"
-74.0123466,40.70925409,DOE_DYCD33,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,02M489,HS of Economic & Finance,100,Trinity Place,Manhattan,10006,School,0,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Trinity Place,"Manhattan, NY 10006"
-73.98597193,40.72014746,DOE_DYCD32,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M509,Marta Valle HS,145,Stanton Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,145 Stanton Street,"Manhattan, NY 10002"
-73.98175929,40.72370447,DOE_DYCD30,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M064,PS 64,600,East 6th Street,Manhattan,10009,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,600 East 6th Street,"Manhattan, NY 10009"
-73.87989767,40.67626703,DOE_DYCD50,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K345,PS 345,111,Berriman Street,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,111 Berriman Street,"Brooklyn, NY 11208"
-73.89762463,40.66555684,DOE_DYCD43,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K174,PS 174,574,Dumont Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,574 Dumont Avenue,"Brooklyn, NY 11207"
-74.07909063,40.64290934,DOE_DYCD323,DOE,TASC,212-374-5472,New York Center for Interpersonal Development,237085239,718-815-4557,31R600,McKee HS,290,Saint Marks Place,Staten Island,10301,School,150,No,Yes,No,No,No,No,Yes,Full-time,150,yes,yes,yes,TASC - NY Center for Interpersonal Dev.,290 Saint Marks Place,"Staten Island, NY 10301"
-73.95258219,40.81755531,DOE_DYCD298,DOE,TASC,212-374-5472,Harlem Dowling West Side Center for Children & Family Services,133030378,212-749-3656,05M161,PS 161,499,West 133rd Street,Manhattan,10027,School,250,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,TASC - Harlem Dowling,499 West 133rd Street,"Manhattan, NY 10027"
-73.90074216,40.82737858,DOE_DYCD308,DOE,TASC,212-374-5472,Kips Bay Boys & Girls Club,131623850,718-893-8600,12X158,IS 158/CS 212,800,Home Street,Bronx,10456,School,250,No,Yes,No,No,No,Yes,No,Full-time,250,yes,yes,yes,TASC - Kips Bay Boys & Girls Club,800 Home Street,"Bronx, NY 10456"
-73.89672914,40.73465662,DOE_DYCD314,DOE,TASC,212-374-5472,Maspeth Town Hall,237259702,718-335-6049,24Q229,PS 229,67-25,51st Road,Queens,11377,School,430,No,Yes,No,No,Yes,No,No,Full-time,430,yes,yes,yes,TASC - Maspeth Town Hall,67-25 51st Road,"Queens, NY 11377"
-73.82789216,40.84429201,NYPL56,NYPL,Other,212-340-0903,,,718-792-6744,,Pelham Bay Branch,3060,Middletown Road,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Pelham Bay Branch",3060 Middletown Road,"Bronx, NY 10461"
-74.00534355,40.72986777,NYPL12,NYPL,Other,212-340-0903,,,212-929-0815,,Early Childhood Resource & Information Ctr.,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Early Childhood Resource and Information Center",66 Leroy Street,"Manhattan, NY 10014"
-73.98202637,40.73810169,NYPL13,NYPL,Other,212-340-0903,,,212-679-2645,,Epiphany Branch,228,East 23rd Street,Manhattan,10010,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Epiphany Branch",228 East 23rd Street,"Manhattan, NY 10010"
-73.93385881,40.84788061,NYPL14,NYPL,Other,212-340-0903,,,212-927-3533,,Fort Washington Branch,535,West 179th Street,Manhattan,10033,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Fort Washington Branch",535 West 179th Street,"Manhattan, NY 10033"
-73.95707619,40.81377158,NYPL15,NYPL,Other,212-340-0903,,,212-662-9727,,George Bruce Branch,518,West 125th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, George Bruce Branch",518 West 125th Street,"Manhattan, NY 10027"
-73.9795996,40.71932073,NYPL16,NYPL,Other,212-340-0903,,,212-673-2290,,Hamilton Fish Park Branch,415,East Houston Street,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Fish Park Branch",415 East Houston Street,"Manhattan, NY 10002"
-73.94802503,40.82567804,NYPL17,NYPL,Other,212-340-0903,,,212-926-2147,,Hamilton Grange Branch,503,West 145th Street,Manhattan,10031,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Grange Branch",503 West 145th Street,"Manhattan, NY 10031"
-73.94330502,40.80619043,NYPL18,NYPL,Other,212-340-0903,,,212-348-5620,,Harlem Branch,9,West 124th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Harlem Branch",9 West 124th Street,"Manhattan, NY 10027"
-74.00534355,40.72986777,NYPL19,NYPL,Other,212-340-0903,,,212-243-6876,,Hudson Park Branch,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hudson Park Branch",66 Leroy Street,"Manhattan, NY 10014"
-73.92586386,40.86573231,NYPL20,NYPL,Other,212-340-0903,,,212-942-2445,,Inwood Branch,4790,Broadway,Manhattan,10034,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Inwood Branch",4790 Broadway,"Manhattan, NY 10034"
-73.99918401,40.73459269,NYPL21,NYPL,Other,212-340-0903,,,212-243-4334,,Jefferson Market Regional Branch,425,Ave. of the Americas,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Jefferson Market Regional Branch",425 Ave. of the Americas,"Manhattan, NY 10011"
-73.97993133,40.74380674,NYPL22,NYPL,Other,212-340-0903,,,212-683-2520,,Kips Bay Branch,446,Third Avenue,Manhattan,10016,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Kips Bay Branch",446 Third Avenue,"Manhattan, NY 10016"
-73.9358485,40.82668709,NYPL23,NYPL,Other,212-340-0903,,,212-281-4900,,Macomb's Bridge Branch,2650,Seventh Avenue,Manhattan,10039,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Macomb's Bridge Branch",2650 Seventh Avenue,"Manhattan, NY 10039"
-73.9647919,40.80605651,NYPL24,NYPL,Other,212-340-0903,,,212-864-2530,,Morningside Heights Branch,2900,Broadway,Manhattan,10025,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Morningside Heights Branch",2900 Broadway,"Manhattan, NY 10025"
-73.99596529,40.74451931,NYPL25,NYPL,Other,212-340-0903,,,212-924-1585,,Muhlenberg Branch,209,West 23rd Street,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Muhlenberg Branch",209 West 23rd Street,"Manhattan, NY 10011"
-74.00786006,40.71361042,NYPL26,NYPL,Other,212-340-0903,,,212-732-8186,,New Amsterdam Branch,9,Murray Street,Manhattan,10007,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Amsterdam Branch",9 Murray Street,"Manhattan, NY 10007"
-73.98778529,40.72892131,NYPL27,NYPL,Other,212-340-0903,,,212-674-0947,,Ottendorfer Branch,135,Second Avenue,Manhattan,10003,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Ottendorfer Branch",135 Second Avenue,"Manhattan, NY 10003"
-73.9842499,40.77415314,NYPL28,NYPL,Other,212-340-0903,,,212-870-1810,,Riverside Branch,127,Amsterdam Avenue,Manhattan,10023,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverside Branch",127 Amsterdam Avenue,"Manhattan, NY 10023"
-73.95019965,40.76123236,NYPL29,NYPL,Other,212-340-0903,,,212-308-6243,,Roosevelt Island Branch,524,Main Street,Manhattan,10044,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Roosevelt Island Branch",524 Main Street,"Manhattan, NY 10044"
-73.98853621,40.71446923,NYPL30,NYPL,Other,212-340-0903,,,212-477-6770,,Seward Park Branch,192,East Broadway,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Seward Park Branch",192 East Broadway,"Manhattan, NY 10002"
-73.97743097,40.784799,NYPL31,NYPL,Other,212-340-0903,,,212-877-4380,,St. Agnes Branch,444,Amsterdam Avenue,Manhattan,10024,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. Agnes Branch",444 Amsterdam Avenue,"Manhattan, NY 10024"
-73.98039286,40.7272961,NYPL32,NYPL,Other,212-340-0903,,,212-228-4747,,Tompkins Sqare Branch,331,East Tenth Street,Manhattan,10009,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tompkins Sqare Branch",331 East Tenth Street,"Manhattan, NY 10009"
-73.93967939,40.83451432,NYPL33,NYPL,Other,212-340-0903,,,212-923-6054,,Washington Heights Branch,1000,St. Nicholas Avenue,Manhattan,10032,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Washington Heights Branch",1000 St. Nicholas Avenue,"Manhattan, NY 10032"
-73.95137678,40.77064733,NYPL34,NYPL,Other,212-340-0903,,,212-288-5049,,Webster Branch,1465,York Avenue,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Webster Branch",1465 York Avenue,"Manhattan, NY 10021"
-73.95643285,40.7735972,NYPL35,NYPL,Other,212-340-0903,,,212-744-5824,,Yorkville Branch,222,East 79th Street,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Yorkville Branch",222 East 79th Street,"Manhattan, NY 10021"
-73.86320393,40.8668173,NYPL36,NYPL,Other,212-340-0903,,,718-881-4240,,Allerton Branch,2740,Barnes Avenue,Bronx,10467,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Allerton Branch",2740 Barnes Avenue,"Bronx, NY 10467"
-73.8284457,40.87048465,NYPL37,NYPL,Other,212-340-0903,,,718-379-6700,,Baychester Regional Branch,2049,Asch Loop North,Bronx,10475,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Baychester Regional Branch",2049 Asch Loop North,"Bronx, NY 10475"
-73.88791886,40.85433086,NYPL38,NYPL,Other,212-340-0903,,,718-933-6410,,Belmont Regional Branch,610,East 186th Street,Bronx,10458,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Belmont Regional Branch",610 East 186th Street,"Bronx, NY 10458"
-73.85020275,40.82661312,NYPL39,NYPL,Other,212-340-0903,,,718-824-3838,,Castle Hill Branch,947,Castle Hill Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Castle Hill Branch",947 Castle Hill Avenue,"Bronx, NY 10473"
-73.87505245,40.82998029,NYPL41,NYPL,Other,212-340-0903,,,718-842-1235,,Clason's Point Branch,1215,Morrison Avenue,Bronx,10472,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Clason's Point Branch",1215 Morrison Avenue,"Bronx, NY 10472"
-73.8450499,40.87017033,NYPL42,NYPL,Other,212-340-0903,,,718-653-3292,,Eastchester Branch,1385,East Gun Hill Road,Bronx,10469,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Eastchester Branch",1385 East Gun Hill Road,"Bronx, NY 10469"
-73.84084005,40.88888389,NYPL43,NYPL,Other,212-340-0903,,,718-798-3355,,Edenwald Branch,1255,East 233rd Street,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Edenwald Branch",1255 East 233rd Street,"Bronx, NY 10466"
-73.90928541,40.85746488,NYPL45,NYPL,Other,212-340-0903,,,718-295-5287,,Francis Martin Regional Branch,2150,University Avenue,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Francis Martin Regional Branch",2150 University Avenue,"Bronx, NY 10453"
-73.91009167,40.84400822,NYPL46,NYPL,Other,212-340-0903,,,718-583-6611,,Grand Concourse Branch,155,East 173rd Street,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Grand Concourse Branch",155 East 173rd Street,"Bronx, NY 10457"
-73.92355815,40.83794114,NYPL47,NYPL,Other,212-340-0903,,,718-293-7800,,High Bridge Branch,78,West 168th Street,Bronx,10452,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, High Bridge Branch",78 West 168th Street,"Bronx, NY 10452"
-73.89412372,40.81867951,NYPL48,NYPL,Other,212-340-0903,,,718-617-0338,,Hunt's Point Regional Branch,877,Southern Blvd.,Bronx,10459,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hunt's Point Regional Branch",877 Southern Blvd.,"Bronx, NY 10459"
-73.90119322,40.86900783,NYPL49,NYPL,Other,212-340-0903,,,718-549-5200,,Jerome Park Branch,118,Eames Place,Bronx,10468,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Jerome Park Branch",118 Eames Place,"Bronx, NY 10468"
-73.90799577,40.88032443,NYPL50,NYPL,Other,212-340-0903,,,718-548-5656,,Kingsbridge Regional Branch,280,West 231st Street,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Kingsbridge Regional Branch",280 West 231st Street,"Bronx, NY 10463"
-73.91760201,40.82657942,NYPL51,NYPL,Other,212-340-0903,,,718-588-0110,,Melrose Branch,910,Morris Avenue,Bronx,10451,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Melrose Branch",910 Morris Avenue,"Bronx, NY 10451"
